Label,sigma (pb),Mediator Mass (GeV),Mediator Width (GeV),DM Mass (GeV),gAx,gAq,"BR_[-52, 52]","BR_[-5, 5]","BR_[-4, 4]","BR_[-3, 3]","BR_[-2, 2]","BR_[-1, 1]","BR_[-6, 6]",Upper limit on signal strength,xsecUL
Run 38,5135.7,203.8,8.583017,50.9,1.0,0.25,0.4095878,0.1180824,0.1180824,0.1180824,0.1180824,0.1180824,,0.01,21.0352006446
Run 39,1365.3,305.6,7.600442,156.1,1.0,0.25,,0.2,0.2,0.2,0.2,0.2,,1.08,
Run 40,7.7438,1202.2,59.11612,250.4,1.0,0.25,0.4052821,0.101147,0.101147,0.101147,0.101147,0.101147,0.08898303,0.24,0.7532216462351999
Run 41,0.65708,2003.6,82.62967,651.8,1.0,0.25,0.2817064,0.1205978,0.1205978,0.1205978,0.1205978,0.1205978,0.1153047,1.63,0.30171893533856003
Run 42,7.7417,1202.1,65.69281,101.3,1.0,0.25,0.4648659,0.09101353,0.09101353,0.09101353,0.09101353,0.09101353,0.0800665,0.2,0.719770467606
Run 43,238.74,504.6,20.35797,151.8,1.0,0.25,0.3352854,0.1232857,0.1232857,0.1232857,0.1232857,0.1232857,0.04828602,0.07,5.6032225477200015
Run 44,2.809,1500.7,82.91134,102.0,1.0,0.25,0.4668638,0.0900229,0.0900229,0.0900229,0.0900229,0.0900229,0.08302169,0.35,0.45899714497
Run 45,16.559,1007.0,29.1984,505.6,1.0,0.25,,0.1715222,0.1715222,0.1715222,0.1715222,0.1715222,0.1423892,6.45,
Run 46,69.335,704.0,37.94322,50.1,1.0,0.25,0.4772802,0.09228485,0.09228485,0.09228485,0.09228485,0.09228485,0.06129551,0.08,2.6473778133599994
Run 47,239.13,504.2,23.78406,101.3,1.0,0.25,0.4316836,0.1054256,0.1054256,0.1054256,0.1054256,0.1054256,0.04118816,0.05,5.1614249634
Run 48,1.3256,1750.6,96.12197,151.0,1.0,0.25,0.4616981,0.09058287,0.09058287,0.09058287,0.09058287,0.09058287,0.0853875,0.59,0.36109593080239993
Run 49,527.54,403.3,17.27928,100.6,1.0,0.25,0.4030773,0.1160831,0.1160831,0.1160831,0.1160831,0.1160831,0.01650739,0.05,10.6319699421
Run 50,7.642,1205.6,35.26066,605.7,1.0,0.25,,0.1700564,0.1700564,0.1700564,0.1700564,0.1700564,0.149718,10.3,
Run 51,2.767,1505.8,60.9603,501.2,1.0,0.25,0.2723404,0.1228584,0.1228584,0.1228584,0.1228584,0.1228584,0.1133677,0.66,0.49735348528799994
Run 52,204700.0,59.5,1.478454,500.4,1.0,0.25,,0.2,0.2,0.2,0.2,0.2,,34.9,
Run 53,5004.2,205.5,5.427911,94.7,1.0,0.25,0.05839698,0.1883206,0.1883206,0.1883206,0.1883206,0.1883206,,0.15,43.834525097400004
Run 54,0.66379,1999.6,111.45,102.0,1.0,0.25,0.4685117,0.0892367,0.0892367,0.0892367,0.0892367,0.0892367,0.08530479,0.88,0.27367417558184
Run 55,16.755,1004.0,49.57547,201.5,1.0,0.25,0.4128263,0.1007298,0.1007298,0.1007298,0.1007298,0.1007298,0.08352485,0.16,1.10670474504
Run 56,3605200.0,19.7,0.4886614,501.2,1.0,0.25,,0.2,0.2,0.2,0.2,0.2,,34.5,
Run 57,68.995,704.6,26.29768,251.2,1.0,0.25,0.2450954,0.1332641,0.1332641,0.1332641,0.1332641,0.1332641,0.08858403,0.15,2.53655356845
Run 58,7.6427,1205.1,37.32841,551.6,1.0,0.25,0.05581464,0.1605675,0.1605675,0.1605675,0.1605675,0.1605675,0.1413478,1.66,0.7081137515524799
Run 59,68.297,706.9,20.09817,345.5,1.0,0.25,0.008769629,0.1749223,0.1749223,0.1749223,0.1749223,0.1749223,0.1166189,2.62,1.56922110175006
Run 60,522.23,404.7,10.35937,251.2,1.0,0.25,,0.1943157,0.1943157,0.1943157,0.1943157,0.1943157,0.02842157,3.5,
Run 61,2.8088,1501.2,81.64369,151.0,1.0,0.25,0.4584128,0.09144916,0.09144916,0.09144916,0.09144916,0.09144916,0.0843414,0.34,0.4377805566976001
Run 62,0.65715,2002.6,90.30903,550.1,1.0,0.25,0.3431091,0.1102894,0.1102894,0.1102894,0.1102894,0.1102894,0.1054441,1.27,0.28635216423255
Run 63,1.3232,1750.6,98.1742,2.6,1.0,0.25,0.4729787,0.08868472,0.08868472,0.08868472,0.08868472,0.08868472,0.08359769,0.55,0.344214978712
Run 64,68.243,707.0,19.92672,500.4,1.0,0.25,,0.1764657,0.1764657,0.1764657,0.1764657,0.1764657,0.1176717,19.6,
Run 65,0.34379,2253.9,102.9861,602.0,1.0,0.25,0.3506861,0.1088492,0.1088492,0.1088492,0.1088492,0.1088492,0.105068,2.05,0.24715286735394998
Run 66,16.508,1007.9,29.22643,601.3,1.0,0.25,,0.1715134,0.1715134,0.1715134,0.1715134,0.1715134,0.1424331,26.5,
Run 67,239810.0,56.2,1.842147,20.9,1.0,0.25,0.2413634,0.1517273,0.1517273,0.1517273,0.1517273,0.1517273,,0.03,1736.4407086200001
Run 68,0.65691,2003.1,86.51261,601.3,1.0,0.25,0.314113,0.1151573,0.1151573,0.1151573,0.1151573,0.1151573,0.1101006,1.4,0.2888815591619999
Run 69,530.95,402.9,10.44672,195.6,1.0,0.25,0.01391925,0.1918065,0.1918065,0.1918065,0.1918065,0.1918065,0.02704839,0.95,7.020904498125
Run 70,7.6436,1205.0,48.58538,400.3,1.0,0.25,0.2746517,0.1233527,0.1233527,0.1233527,0.1233527,0.1233527,0.1085847,0.35,0.7347647069419999
Run 71,0.65918,2002.0,102.9847,351.3,1.0,0.25,0.4241284,0.09668695,0.09668695,0.09668695,0.09668695,0.09668695,0.09243683,1.03,0.28796426747336
Run 72,0.34914,2247.3,126.0908,52.3,1.0,0.25,0.4712316,0.08864426,0.08864426,0.08864426,0.08864426,0.08864426,0.08554706,1.42,0.23362663717007998
Run 73,0.34918,2248.2,126.3325,3.4,1.0,0.25,0.472039,0.08850851,0.08850851,0.08850851,0.08850851,0.08850851,0.0854184,1.41,0.23240547500819997
Run 74,242.83,502.3,25.97264,50.9,1.0,0.25,0.4817938,0.09619557,0.09619557,0.09619557,0.09619557,0.09619557,0.03722835,0.05,5.8496994227000005
Run 75,16.952,1001.3,55.16267,51.6,1.0,0.25,0.4738312,0.0902785,0.0902785,0.0902785,0.0902785,0.0902785,0.07477629,0.14,1.1245341103360003
Run 76,1.3169,1752.1,90.28526,300.9,1.0,0.25,0.4264209,0.09651765,0.09651765,0.09651765,0.09651765,0.09651765,0.09099084,0.65,0.3650098940865
Run 77,1.3256,1749.8,94.51549,200.7,1.0,0.25,0.4528202,0.09207767,0.09207767,0.09207767,0.09207767,0.09207767,0.08679147,0.59,0.3541524897008
Run 78,69.416,704.2,30.14002,201.5,1.0,0.25,0.3418258,0.1161968,0.1161968,0.1161968,0.1161968,0.1161968,0.07719006,0.11,2.610099770608
Run 79,0.3423,2255.8,87.75985,801.6,1.0,0.25,0.2373787,0.1278425,0.1278425,0.1278425,0.1278425,0.1278425,0.123409,3.18,0.2583900382518
Run 80,2.7889,1503.1,71.8194,351.3,1.0,0.25,0.3835234,0.1040911,0.1040911,0.1040911,0.1040911,0.1040911,0.09602107,0.44,0.47062770051439995
Run 81,1.2985,1756.9,55.16082,800.9,1.0,0.25,0.05857734,0.1584074,0.1584074,0.1584074,0.1584074,0.1584074,0.1493855,4.92,0.37422836587079994
Run 82,2.779,1504.0,64.82249,450.0,1.0,0.25,0.3165416,0.115399,0.115399,0.115399,0.115399,0.115399,0.1064633,0.53,0.466224626392
Run 83,0.34447,2253.4,106.4836,551.6,1.0,0.25,0.3721493,0.1052514,0.1052514,0.1052514,0.1052514,0.1052514,0.1015937,1.89,0.24228716911118997
Run 84,2.7537,1506.9,44.48228,746.8,1.0,0.25,0.002093982,0.168484,0.168484,0.168484,0.168484,0.168484,0.1554862,18.5,0.10667466731789998
Run 85,0.67091,1996.0,112.0722,2.6,1.0,0.25,0.4724289,0.08858135,0.08858135,0.08858135,0.08858135,0.08858135,0.08466432,0.84,0.26624410957115996
Run 86,3703400.0,19.4,0.4831036,200.0,1.0,0.25,,0.2,0.2,0.2,0.2,0.2,,3.93,
Run 87,258450.0,54.7,2.800179,1.9,1.0,0.25,0.5143147,0.09713706,0.09713706,0.09713706,0.09713706,0.09713706,,0.01,1329.2463421500001
Run 88,0.66531,1998.9,105.192,300.9,1.0,0.25,0.4371081,0.09450988,0.09450988,0.09450988,0.09450988,0.09450988,0.09034251,0.96,0.27917989441056
Run 89,0.34643,2250.6,115.5081,400.3,1.0,0.25,0.4219224,0.09690894,0.09690894,0.09690894,0.09690894,0.09690894,0.09353291,1.69,0.24702151518408
Run 90,0.34763,2249.8,112.6464,450.7,1.0,0.25,0.407462,0.09933351,0.09933351,0.09933351,0.09933351,0.09933351,0.09587043,1.73,0.2450476060538
Run 91,16.857,1001.8,54.02057,100.6,1.0,0.25,0.4624415,0.09223026,0.09223026,0.09223026,0.09223026,0.09223026,0.07640723,0.14,1.09135269117
Run 92,16.54,1006.8,29.36851,494.6,1.0,0.25,0.005900417,0.1705111,0.1705111,0.1705111,0.1705111,0.1705111,0.1415441,5.97,0.5826295961646
Run 93,238.5,505.1,16.43053,202.2,1.0,0.25,0.1754614,0.1529009,0.1529009,0.1529009,0.1529009,0.1529009,0.06003389,0.14,5.8586561459999995
Run 94,0.66581,1999.7,107.3414,251.2,1.0,0.25,0.448141,0.09265687,0.09265687,0.09265687,0.09265687,0.09265687,0.08857466,0.95,0.28345792124950003
Run 95,7.6182,1206.8,44.7608,450.0,1.0,0.25,0.2114502,0.1340928,0.1340928,0.1340928,0.1340928,0.1340928,0.1180858,0.46,0.7410001602744001
