Label,Region,Total Weight,Mediator Mass (GeV),Mediator Width (GeV),DM Mass (GeV),gAx,gVx,gAq,gVq
Run 7,EM11,0.00024148843684210523,1759.0,96.52742,153.87,1.0,0.0,0.25,0.0
Run 7,EM12,0.00014489306210526315,1759.0,96.52742,153.87,1.0,0.0,0.25,0.0
Run 8,EM0,0.007417707400350852,2017.4,105.0354,327.73,1.0,0.0,0.25,0.0
Run 8,EM1,0.004991698042456125,2017.4,105.0354,327.73,1.0,0.0,0.25,0.0
Run 8,EM2,0.003425819275087709,2017.4,105.0354,327.73,1.0,0.0,0.25,0.0
Run 8,EM3,0.0025950948585964843,2017.4,105.0354,327.73,1.0,0.0,0.25,0.0
Run 8,EM4,0.003278788404912271,2017.4,105.0354,327.73,1.0,0.0,0.25,0.0
Run 8,EM5,0.0015732303108771898,2017.4,105.0354,327.73,1.0,0.0,0.25,0.0
Run 8,EM6,0.0009704037431578937,2017.4,105.0354,327.73,1.0,0.0,0.25,0.0
Run 8,EM7,0.0006248811982456144,2017.4,105.0354,327.73,1.0,0.0,0.25,0.0
Run 8,EM8,0.00034552254491228106,2017.4,105.0354,327.73,1.0,0.0,0.25,0.0
Run 8,EM9,0.0003087648273684213,2017.4,105.0354,327.73,1.0,0.0,0.25,0.0
Run 8,EM10,0.00020584321824561403,2017.4,105.0354,327.73,1.0,0.0,0.25,0.0
Run 8,EM11,0.00013967932666666667,2017.4,105.0354,327.73,1.0,0.0,0.25,0.0
Run 8,EM12,8.086697859649123e-05,2017.4,105.0354,327.73,1.0,0.0,0.25,0.0
Run 9,EM0,0.5793518010526284,700.69,36.76795,83.132,1.0,0.0,0.25,0.0
Run 9,EM1,0.3425364663157911,700.69,36.76795,83.132,1.0,0.0,0.25,0.0
Run 9,EM2,0.19170765192982528,700.69,36.76795,83.132,1.0,0.0,0.25,0.0
Run 9,EM3,0.13109420315789508,700.69,36.76795,83.132,1.0,0.0,0.25,0.0
Run 9,EM4,0.14378073894736884,700.69,36.76795,83.132,1.0,0.0,0.25,0.0
Run 9,EM5,0.07189036947368418,700.69,36.76795,83.132,1.0,0.0,0.25,0.0
Run 9,EM6,0.02748749421052634,700.69,36.76795,83.132,1.0,0.0,0.25,0.0
Run 9,EM7,0.02114422631578949,700.69,36.76795,83.132,1.0,0.0,0.25,0.0
Run 9,EM8,0.01480095842105264,700.69,36.76795,83.132,1.0,0.0,0.25,0.0
Run 9,EM9,0.006343267894736842,700.69,36.76795,83.132,1.0,0.0,0.25,0.0
Run 9,EM10,0.005638460350877193,700.69,36.76795,83.132,1.0,0.0,0.25,0.0
Run 9,EM11,0.0007048075438596492,700.69,36.76795,83.132,1.0,0.0,0.25,0.0
Run 9,EM12,0.0007048075438596492,700.69,36.76795,83.132,1.0,0.0,0.25,0.0
Run 10,EM0,0.02750426214736883,1501.5,74.91779,299.82,1.0,0.0,0.25,0.0
