Signal Region,Sigma_95_exp (pb),Sigma_95_obs (pb),Efficiency,Stat,Sigma_theoretical (pb),SAF File,mMed (GeV),mchi (GeV),Signal Strength Obs,Signal Strength Exp,Status Obs,Status Exp
IM3,2.6771603,3.9655613,0.0212396,9.29e-05,0.4863154,spin1_run_02_mzp_20_mx_200,20.0,200.0,0.12263469486652495,0.18165344824514243,Excluded,Excluded
IM4,2.4354103,3.86687,0.0134997,7.43e-05,0.4863154,spin1_run_02_mzp_20_mx_200,20.0,200.0,0.12576461065409492,0.19968520294095823,Excluded,Excluded
IM5,2.5139666,3.8039952,0.0057455,4.87e-05,0.4863154,spin1_run_02_mzp_20_mx_200,20.0,200.0,0.12784332640587978,0.1934454499117053,Excluded,Excluded
IM6,2.2318973,3.2591188,0.0032705,3.68e-05,0.4863154,spin1_run_02_mzp_20_mx_200,20.0,200.0,0.14921683738561478,0.21789326955142604,Excluded,Excluded
IM7,2.147395,2.5265266,0.0016782,2.64e-05,0.4863154,spin1_run_02_mzp_20_mx_200,20.0,200.0,0.1924837838635857,0.22646760377108077,Excluded,Excluded
IM8,2.0973099,2.2462703,0.0009579,1.99e-05,0.4863154,spin1_run_02_mzp_20_mx_200,20.0,200.0,0.21649905623557414,0.23187579479789802,Excluded,Excluded
IM9,2.1650061,2.0382654,0.0005836,1.56e-05,0.4863154,spin1_run_02_mzp_20_mx_200,20.0,200.0,0.23859277599472575,0.22462541791452692,Excluded,Excluded
IM10,3.3453557,5.1957973,0.0002785,1.07e-05,0.4863154,spin1_run_02_mzp_20_mx_200,20.0,200.0,0.09359783916127752,0.14537031144401177,Excluded,Excluded
IM11,3.2361312,2.8858144,0.0001742,8.5e-06,0.4863154,spin1_run_02_mzp_20_mx_200,20.0,200.0,0.16851929216237885,0.15027678729465604,Excluded,Excluded
IM12,4.9890039,3.9566535,6.98e-05,5.4e-06,0.4863154,spin1_run_02_mzp_20_mx_200,20.0,200.0,0.12291078811930335,0.09747745436719342,Excluded,Excluded
EM0,13.4105696,14.9847554,0.0273483,0.000105,0.4863154,spin1_run_02_mzp_20_mx_200,20.0,200.0,0.032454009893281274,0.03626359017591617,Excluded,Excluded
EM1,6.6865038,6.5274634,0.0190879,8.81e-05,0.4863154,spin1_run_02_mzp_20_mx_200,20.0,200.0,0.07450296848849432,0.07273089413334365,Excluded,Excluded
EM2,4.003497,3.9839745,0.0124688,7.15e-05,0.4863154,spin1_run_02_mzp_20_mx_200,20.0,200.0,0.12206789978198906,0.12147265253352256,Excluded,Excluded
EM3,2.9833275,3.6180002,0.0077399,5.64e-05,0.4863154,spin1_run_02_mzp_20_mx_200,20.0,200.0,0.1344155260135143,0.1630110673400758,Excluded,Excluded
EM4,2.2630721,3.1849669,0.0077542,5.65e-05,0.4863154,spin1_run_02_mzp_20_mx_200,20.0,200.0,0.1526908803981605,0.2148916952314511,Excluded,Excluded
EM5,2.47973,3.0255221,0.002475,3.2e-05,0.4863154,spin1_run_02_mzp_20_mx_200,20.0,200.0,0.16073767896126095,0.19611627072302226,Excluded,Excluded
EM6,1.8369156,2.5332214,0.0015923,2.57e-05,0.4863154,spin1_run_02_mzp_20_mx_200,20.0,200.0,0.19197508753084117,0.2647456420970022,Excluded,Excluded
EM7,1.9961282,2.9142533,0.0007203,1.73e-05,0.4863154,spin1_run_02_mzp_20_mx_200,20.0,200.0,0.16687478744555254,0.24362934204326156,Excluded,Excluded
EM8,2.1744685,2.4892822,0.0003743,1.25e-05,0.4863154,spin1_run_02_mzp_20_mx_200,20.0,200.0,0.19536370765837638,0.22364793971492342,Excluded,Excluded
EM9,1.6063257,1.3637561,0.0003051,1.12e-05,0.4863154,spin1_run_02_mzp_20_mx_200,20.0,200.0,0.3565999814776264,0.3027501832287188,Excluded,Excluded
EM10,2.9934468,6.391953,0.0001044,6.6e-06,0.4863154,spin1_run_02_mzp_20_mx_200,20.0,200.0,0.07608244303423382,0.16246001098132093,Excluded,Excluded
EM11,2.1017926,2.3699148,0.0001043,6.6e-06,0.4863154,spin1_run_02_mzp_20_mx_200,20.0,200.0,0.20520374825289078,0.23138125046210553,Excluded,Excluded
EM12,3.6510559,2.9337339,6.98e-05,5.4e-06,0.4863154,spin1_run_02_mzp_20_mx_200,20.0,200.0,0.16576670433538637,0.13319856318825468,Excluded,Excluded
IM0,5.0614895,6.4324714,0.1113826,0.0004217,0.1107424,spin1_run_03_mzp_20_mx_300,20.0,300.0,0.01721615116703045,0.021879409213434106,Excluded,Excluded
IM1,2.9275241,3.6888547,0.0770651,0.0003575,0.1107424,spin1_run_03_mzp_20_mx_300,20.0,300.0,0.03002080835550395,0.037828006266455674,Excluded,Excluded
IM2,2.178939,3.0027347,0.0519098,0.0002974,0.1107424,spin1_run_03_mzp_20_mx_300,20.0,300.0,0.03688051428586082,0.05082400195691573,Excluded,Excluded
IM3,1.6479276,2.4147954,0.0346451,0.0002451,0.1107424,spin1_run_03_mzp_20_mx_300,20.0,300.0,0.045859951530469206,0.06720101052983153,Excluded,Excluded
IM4,1.4253791,2.2707608,0.023093,0.0002013,0.1107424,spin1_run_03_mzp_20_mx_300,20.0,300.0,0.04876885315265263,0.07769329576952545,Excluded,Excluded
IM5,1.2458419,1.8988331,0.0115281,0.0001431,0.1107424,spin1_run_03_mzp_20_mx_300,20.0,300.0,0.05832129216622567,0.08888960950823696,Excluded,Excluded
IM6,1.239806,1.816057,0.0058727,0.0001024,0.1107424,spin1_run_03_mzp_20_mx_300,20.0,300.0,0.060979583790596883,0.0893223617243343,Excluded,Excluded
IM7,1.0304689,1.2173081,0.0034766,7.89e-05,0.1107424,spin1_run_03_mzp_20_mx_300,20.0,300.0,0.09097318912114362,0.10746796919344194,Excluded,Excluded
IM8,1.0774193,1.1515427,0.0018649,5.78e-05,0.1107424,spin1_run_03_mzp_20_mx_300,20.0,300.0,0.09616873086859914,0.10278486750701421,Excluded,Excluded
IM9,1.3695691,1.2959661,0.0009218,4.07e-05,0.1107424,spin1_run_03_mzp_20_mx_300,20.0,300.0,0.08545161790883266,0.08085930092902943,Excluded,Excluded
IM10,1.8148866,2.8099501,0.0005132,3.04e-05,0.1107424,spin1_run_03_mzp_20_mx_300,20.0,300.0,0.03941080661895028,0.06101890883981402,Excluded,Excluded
IM11,2.3351819,2.0798327,0.000242,2.08e-05,0.1107424,spin1_run_03_mzp_20_mx_300,20.0,300.0,0.05324582116628901,0.04742345767582389,Excluded,Excluded
IM12,2.5113878,1.9777667,0.0001389,1.58e-05,0.1107424,spin1_run_03_mzp_20_mx_300,20.0,300.0,0.055993661942027845,0.04409609698669397,Excluded,Excluded
EM0,10.7123389,11.950033,0.0343175,0.000244,0.1107424,spin1_run_03_mzp_20_mx_300,20.0,300.0,0.00926712085230225,0.010337835745655881,Excluded,Excluded
EM1,5.0773243,4.9515099,0.0251553,0.0002099,0.1107424,spin1_run_03_mzp_20_mx_300,20.0,300.0,0.022365379901593253,0.02181117325911209,Excluded,Excluded
EM2,2.911727,2.891585,0.0172647,0.0001746,0.1107424,spin1_run_03_mzp_20_mx_300,20.0,300.0,0.03829816519313802,0.03803323594554023,Excluded,Excluded
EM3,2.0098637,2.4438166,0.0115521,0.0001432,0.1107424,spin1_run_03_mzp_20_mx_300,20.0,300.0,0.04531534813209797,0.0550994577393482,Excluded,Excluded
EM4,1.5198156,2.1253213,0.011565,0.0001433,0.1107424,spin1_run_03_mzp_20_mx_300,20.0,300.0,0.05210619213198494,0.07286568186298391,Excluded,Excluded
EM5,1.0881397,1.322368,0.0056554,0.0001005,0.1107424,spin1_run_03_mzp_20_mx_300,20.0,300.0,0.08374552318265416,0.10177222648893337,Excluded,Excluded
EM6,1.2117578,1.6860065,0.0023961,6.55e-05,0.1107424,spin1_run_03_mzp_20_mx_300,20.0,300.0,0.06568325804200636,0.09138988005688926,Excluded,Excluded
EM7,0.8929091,1.2993648,0.0016117,5.38e-05,0.1107424,spin1_run_03_mzp_20_mx_300,20.0,300.0,0.08522810530191367,0.1240242707796348,Excluded,Excluded
EM8,0.8617554,0.9886683,0.0009431,4.11e-05,0.1107424,spin1_run_03_mzp_20_mx_300,20.0,300.0,0.11201168278582412,0.12850792695932048,Excluded,Excluded
EM9,1.1935662,1.0222639,0.0004087,2.71e-05,0.1107424,spin1_run_03_mzp_20_mx_300,20.0,300.0,0.10833053969723475,0.09278278825254938,Excluded,Excluded
EM10,1.1577335,2.4648391,0.0002712,2.21e-05,0.1107424,spin1_run_03_mzp_20_mx_300,20.0,300.0,0.04492885559953995,0.09565448352319425,Excluded,Excluded
EM11,2.1409691,2.3968638,0.0001031,1.36e-05,0.1107424,spin1_run_03_mzp_20_mx_300,20.0,300.0,0.04620304249244366,0.05172536119274211,Excluded,Excluded
EM12,1.8359036,1.4795879,0.0001389,1.58e-05,0.1107424,spin1_run_03_mzp_20_mx_300,20.0,300.0,0.07484678673027807,0.06032037847738847,Excluded,Excluded
IM0,3.6746878,4.6538555,0.1541795,0.0013863,0.01323799,spin1_run_04_mzp_20_mx_500,20.0,500.0,0.002844521064308937,0.003602480188929247,Excluded,Excluded
IM1,1.8986987,2.3962192,0.1186038,0.0012412,0.01323799,spin1_run_04_mzp_20_mx_500,20.0,500.0,0.005524532146307817,0.00697213833874748,Excluded,Excluded
IM2,1.3221076,1.8065821,0.0859274,0.0010759,0.01323799,spin1_run_04_mzp_20_mx_500,20.0,500.0,0.007327643731220408,0.010012793209871874,Excluded,Excluded
IM3,0.9303824,1.3706503,0.0613141,0.000921,0.01323799,spin1_run_04_mzp_20_mx_500,20.0,500.0,0.009658181959322519,0.014228547315598403,Excluded,Excluded
IM4,0.7688915,1.2210492,0.0427381,0.0007765,0.01323799,spin1_run_04_mzp_20_mx_500,20.0,500.0,0.010841487795905358,0.017216980549271257,Excluded,Excluded
IM5,0.6723493,1.0146491,0.0215212,0.0005571,0.01323799,spin1_run_04_mzp_20_mx_500,20.0,500.0,0.013046865167475141,0.019689155621936395,Excluded,Excluded
IM6,0.6190805,0.9024613,0.0118025,0.0004146,0.01323799,spin1_run_04_mzp_20_mx_500,20.0,500.0,0.014668761973505124,0.02138330960190153,Excluded,Excluded
IM7,0.5174429,0.6098277,0.0069329,0.0003185,0.01323799,spin1_run_04_mzp_20_mx_500,20.0,500.0,0.02170775450180436,0.025583479839031514,Excluded,Excluded
IM8,0.5062348,0.5380439,0.0039569,0.000241,0.01323799,spin1_run_04_mzp_20_mx_500,20.0,500.0,0.024603921724602767,0.02614990119209505,Excluded,Excluded
IM9,0.5293491,0.4997135,0.0023863,0.0001873,0.01323799,spin1_run_04_mzp_20_mx_500,20.0,500.0,0.02649115943435589,0.02500805234201777,Excluded,Excluded
IM10,0.5310011,0.8207821,0.0017557,0.0001607,0.01323799,spin1_run_04_mzp_20_mx_500,20.0,500.0,0.016128507188448677,0.024930249673682407,Excluded,Excluded
IM11,0.5048892,0.4506553,0.0011143,0.0001281,0.01323799,spin1_run_04_mzp_20_mx_500,20.0,500.0,0.029374979058273586,0.026219594318911948,Excluded,Excluded
IM12,0.6083021,0.4846755,0.0005723,9.18e-05,0.01323799,spin1_run_04_mzp_20_mx_500,20.0,500.0,0.027313099176665627,0.021762196776897533,Excluded,Excluded
EM0,10.3393442,11.4986,0.0355757,0.0007111,0.01323799,spin1_run_04_mzp_20_mx_500,20.0,500.0,0.0011512697197919746,0.0012803510303874012,Excluded,Excluded
EM1,3.8980024,3.7966491,0.0326764,0.0006825,0.01323799,spin1_run_04_mzp_20_mx_500,20.0,500.0,0.003486756255667662,0.003396095907996362,Excluded,Excluded
EM2,2.0260826,2.012778,0.0246134,0.0005948,0.01323799,spin1_run_04_mzp_20_mx_500,20.0,500.0,0.006576974708586839,0.006533785937453882,Excluded,Excluded
EM3,1.2445459,1.5128858,0.018576,0.0005183,0.01323799,spin1_run_04_mzp_20_mx_500,20.0,500.0,0.00875015814148034,0.010636803351326777,Excluded,Excluded
EM4,0.8289107,1.1560692,0.0212169,0.0005532,0.01323799,spin1_run_04_mzp_20_mx_500,20.0,500.0,0.011450862976022543,0.015970345177110153,Excluded,Excluded
