Run,MY1,Mchi,Omegah2,xsi,x_f,sigmav_xf
99,20.01,554.96,0.0,1e-06,37.0,0.0
100,20.01,551.46,0.0,1e-06,37.0,0.0
101,20.01,549.1,0.0,1e-06,37.0,0.0
102,20.01,547.97,0.0,1e-06,37.0,0.0
103,20.01,544.47,0.0,1e-06,37.0,0.0
104,20.01,540.98,0.0,1e-06,37.0,0.0
105,20.01,537.48,0.0,1e-06,37.0,0.0
106,20.01,533.99,0.0,1e-06,37.0,0.0
107,20.01,531.44,0.0,1e-06,37.0,0.0
108,20.01,530.49,0.0,1e-06,37.0,0.0
109,20.01,527.0,0.0,1e-06,37.0,0.0
110,20.01,523.5,0.0,1e-06,37.0,0.0
111,20.01,453.6,0.0,1e-06,37.0,0.0
112,20.01,451.25,0.0,1e-06,37.0,0.0
113,20.01,450.11,0.0,1e-06,37.0,0.0
114,20.01,446.61,0.0,1e-06,37.0,0.0
115,20.01,443.12,0.0,1e-06,37.0,0.0
116,20.01,299.82,0.0,1e-06,36.0,0.0
117,20.01,264.87,0.0,1e-06,36.0,0.0
118,20.01,121.58,3e-06,2.2e-05,32.0,0.0
119,20.01,2.7475,0.000947,0.0079,22.0,0.0
120,32.964,72.91,3.6e-05,0.0003,29.0,0.0
121,32.964,76.142,3.4e-05,0.000285,29.0,0.0
122,32.964,77.744,3.3e-05,0.000278,29.0,0.0
123,32.964,79.637,3.2e-05,0.00027,29.0,0.0
124,32.964,81.93,3.1e-05,0.000261,29.0,0.0
125,32.964,83.132,3.1e-05,0.000256,29.0,0.0
126,32.964,86.627,2.9e-05,0.000242,29.0,0.0
127,32.964,90.122,2.8e-05,0.000229,29.0,0.0
128,32.964,92.493,2.6e-05,0.00022,29.0,0.0
129,32.964,93.617,2.6e-05,0.000216,29.0,0.0
130,32.964,97.112,2.5e-05,0.000205,30.0,0.0
131,32.964,98.772,2.4e-05,0.0002,30.0,0.0
132,32.964,100.61,2.3e-05,0.000194,30.0,0.0
133,32.964,102.06,2.3e-05,0.00019,30.0,0.0
134,32.964,104.1,2.2e-05,0.000184,30.0,0.0
135,32.964,105.06,2.2e-05,0.000181,30.0,0.0
136,32.964,107.6,2.1e-05,0.000174,30.0,0.0
137,32.964,108.95,2e-05,0.000171,30.0,0.0
138,32.964,111.09,2e-05,0.000166,30.0,0.0
139,32.964,112.83,1.9e-05,0.000161,30.0,0.0
140,32.964,114.59,1.9e-05,0.000157,30.0,0.0
141,32.964,116.75,1.8e-05,0.000153,30.0,0.0
142,32.964,118.08,1.8e-05,0.00015,30.0,0.0
143,32.964,121.58,1.7e-05,0.000142,30.0,0.0
144,32.964,124.97,1.6e-05,0.000136,30.0,0.0
145,32.964,125.07,1.6e-05,0.000136,30.0,0.0
146,32.964,128.57,1.6e-05,0.000129,30.0,0.0
147,32.964,132.06,1.5e-05,0.000124,30.0,0.0
148,32.964,133.19,1.5e-05,0.000122,30.0,0.0
149,32.964,135.56,1.4e-05,0.000118,30.0,0.0
150,32.964,139.05,1.4e-05,0.000113,31.0,0.0
151,32.964,142.55,1.3e-05,0.000108,31.0,0.0
152,32.964,144.15,1.3e-05,0.000106,31.0,0.0
153,32.964,146.04,1.2e-05,0.000104,31.0,0.0
