Label,sigma x BR (pb),Mediator Mass (GeV),Mediator Width (GeV),DM Mass (GeV),gAx,gAq,"BR_[-52, 52]","BR_[-5, 5]","BR_[-4, 4]","BR_[-3, 3]","BR_[-2, 2]","BR_[-1, 1]","BR_[-6, 6]",Upper limit on signal strength,xsecUL
Run 41,0.133960181,2003.6,82.62967,651.8,1.0,0.25,0.2817064,0.1205978,0.1205978,0.1205978,0.1205978,0.1205978,0.1153047,1.63,0.21835509503
Run 42,2.5306658,1202.1,65.69281,101.3,1.0,0.25,0.4648659,0.09101353,0.09101353,0.09101353,0.09101353,0.09101353,0.0800665,0.2,0.50613316
Run 43,44.448371,504.6,20.35797,151.8,1.0,0.25,0.3352854,0.1232857,0.1232857,0.1232857,0.1232857,0.1232857,0.04828602,0.07,3.1113859700000006
Run 44,0.9798293,1500.7,82.91134,102.0,1.0,0.25,0.4668638,0.0900229,0.0900229,0.0900229,0.0900229,0.0900229,0.08302169,0.35,0.34294025499999997
Run 45,0.079681255,1007.0,29.1984,505.6,1.0,0.25,,0.1715222,0.1715222,0.1715222,0.1715222,0.1715222,0.1423892,6.45,0.51394409475
Run 46,20.676938,704.0,37.94322,50.1,1.0,0.25,0.4772802,0.09228485,0.09228485,0.09228485,0.09228485,0.09228485,0.06129551,0.08,1.65415504
Run 47,57.534665000000004,504.2,23.78406,101.3,1.0,0.25,0.4316836,0.1054256,0.1054256,0.1054256,0.1054256,0.1054256,0.04118816,0.05,2.8767332500000005
Run 48,0.47265876,1750.6,96.12197,151.0,1.0,0.25,0.4616981,0.09058287,0.09058287,0.09058287,0.09058287,0.09058287,0.0853875,0.59,0.2788686684
Run 49,109.75848000000002,403.3,17.27928,100.6,1.0,0.25,0.4030773,0.1160831,0.1160831,0.1160831,0.1160831,0.1160831,0.01650739,0.05,5.487924000000001
Run 50,0.0357206999,1205.6,35.26066,605.7,1.0,0.25,,0.1700564,0.1700564,0.1700564,0.1700564,0.1700564,0.149718,10.3,0.36792320897
Run 51,0.52198197,1505.8,60.9603,501.2,1.0,0.25,0.2723404,0.1228584,0.1228584,0.1228584,0.1228584,0.1228584,0.1133677,0.66,0.3445081002
Run 52,0.0092123519,59.5,1.478454,500.4,1.0,0.25,,0.2,0.2,0.2,0.2,0.2,,34.9,0.32151108131
Run 53,135.03453000000002,205.5,5.427911,94.7,1.0,0.25,0.05839698,0.1883206,0.1883206,0.1883206,0.1883206,0.1883206,,0.15,20.2551795
Run 54,0.253113941,1999.6,111.45,102.0,1.0,0.25,0.4685117,0.0892367,0.0892367,0.0892367,0.0892367,0.0892367,0.08530479,0.88,0.22274026808
Run 55,4.5736685,1004.0,49.57547,201.5,1.0,0.25,0.4128263,0.1007298,0.1007298,0.1007298,0.1007298,0.1007298,0.08352485,0.16,0.73178696
Run 56,0.009062302,19.7,0.4886614,501.2,1.0,0.25,,0.2,0.2,0.2,0.2,0.2,,34.5,0.312649419
Run 57,10.271252,704.6,26.29768,251.2,1.0,0.25,0.2450954,0.1332641,0.1332641,0.1332641,0.1332641,0.1332641,0.08858403,0.15,1.5406878
Run 58,0.3058704,1205.1,37.32841,551.6,1.0,0.25,0.05581464,0.1605675,0.1605675,0.1605675,0.1605675,0.1605675,0.1413478,1.66,0.507744864
Run 59,0.71112,706.9,20.09817,345.5,1.0,0.25,0.008769629,0.1749223,0.1749223,0.1749223,0.1749223,0.1749223,0.1166189,2.62,1.8631344
Run 60,0.3520405,404.7,10.35937,251.2,1.0,0.25,,0.1943157,0.1943157,0.1943157,0.1943157,0.1943157,0.02842157,3.5,1.2321417499999998
Run 61,0.95163502,1501.2,81.64369,151.0,1.0,0.25,0.4584128,0.09144916,0.09144916,0.09144916,0.09144916,0.09144916,0.0843414,0.34,0.3235559068
Run 62,0.16417537199999999,2002.6,90.30903,550.1,1.0,0.25,0.3431091,0.1102894,0.1102894,0.1102894,0.1102894,0.1102894,0.1054441,1.27,0.20850272243999998
Run 63,0.50079693,1750.6,98.1742,2.6,1.0,0.25,0.4729787,0.08868472,0.08868472,0.08868472,0.08868472,0.08868472,0.08359769,0.55,0.27543831150000003
Run 64,0.0169529522,707.0,19.92672,500.4,1.0,0.25,,0.1764657,0.1764657,0.1764657,0.1764657,0.1764657,0.1176717,19.6,0.33227786312
Run 65,0.090903083,2253.9,102.9861,602.0,1.0,0.25,0.3506861,0.1088492,0.1088492,0.1088492,0.1088492,0.1088492,0.105068,2.05,0.18635132014999997
Run 66,0.0105440412,1007.9,29.22643,601.3,1.0,0.25,,0.1715134,0.1715134,0.1715134,0.1715134,0.1715134,0.1424331,26.5,0.2794170918
Run 67,11472.26,56.2,1.842147,20.9,1.0,0.25,0.2413634,0.1517273,0.1517273,0.1517273,0.1517273,0.1517273,,0.03,344.1678
Run 68,0.151083182,2003.1,86.51261,601.3,1.0,0.25,0.314113,0.1151573,0.1151573,0.1151573,0.1151573,0.1151573,0.1101006,1.4,0.2115164548
Run 69,6.383389000000001,402.9,10.44672,195.6,1.0,0.25,0.01391925,0.1918065,0.1918065,0.1918065,0.1918065,0.1918065,0.02704839,0.95,6.064219550000001
Run 70,1.41105615,1205.0,48.58538,400.3,1.0,0.25,0.2746517,0.1233527,0.1233527,0.1233527,0.1233527,0.1233527,0.1085847,0.35,0.4938696525
