#: table_doi: 10.17182/hepdata.102093.v1/t97
#: name: Table cutflows 150GeV
#: description: Cutflow of several signal benchmarks. A cut on the truth $E_\mathrm{T}^\mathrm{miss}$ at 150 GeV is applied.
#: data_file: table_cutflows_150gev.yaml
$E_\mathrm{T}^\mathrm{miss}>200$ GeV,18801.0
200 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $250 GeV,4488.0
250 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $300 GeV,3789.0
300 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $350 GeV,2857.0
350 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $400 GeV,2111.0
400 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $500 GeV,2618.0
500 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $600 GeV,1352.0
600 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $700 GeV,712.0
700 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $800 GeV,393.0
800 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $900 GeV,204.0
900 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $1000 GeV,122.0
1000 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $1100 GeV,58.0
1100 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $1200 GeV,42.0
$E_\mathrm{T}^\mathrm{miss} > $1200 GeV,55.0

Cut,TT_bffN_450_443  [$\%$]
Total evts (truth $E_\mathrm{T}^\mathrm{miss}>150$ GeV),100.0
Trigger,98.11
Event cleaning,97.94
Lepton veto,94.82
$N_\mathrm{jets}\leq4$,89.43
"$\min{\Delta\Phi\left(\mathrm{jets},E_\mathrm{T}^\mathrm{miss}\right)}$ cut",84.14
Lead. Jet quality requirements,80.48
Lead. Jet $p_\mathrm{T}>150$ GeV and lead. Jet $\left|\eta\right|<2.4$,58.42
$E_\mathrm{T}^\mathrm{miss}>200$ GeV,47.48
200 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $250 GeV,11.34
250 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $300 GeV,9.57
300 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $350 GeV,7.21
350 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $400 GeV,5.33
400 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $500 GeV,6.61
500 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $600 GeV,3.41
600 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $700 GeV,1.8
700 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $800 GeV,0.99
800 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $900 GeV,0.52
900 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $1000 GeV,0.31
1000 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $1100 GeV,0.15
1100 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $1200 GeV,0.11
$E_\mathrm{T}^\mathrm{miss} > $1200 GeV,0.14

Cut,BB_direct_500_300
Total evts (truth $E_\mathrm{T}^\mathrm{miss}>150$ GeV),95200.0
Trigger,93802.0
Event cleaning,93679.0
Lepton veto,89103.0
$N_\mathrm{jets}\leq4$,74701.0
"$\min{\Delta\Phi\left(\mathrm{jets},E_\mathrm{T}^\mathrm{miss}\right)}$ cut",66128.0
Lead. Jet quality requirements,64964.0
Lead. Jet $p_\mathrm{T}>150$ GeV and lead. Jet $\left|\eta\right|<2.4$,48148.0
$E_\mathrm{T}^\mathrm{miss}>200$ GeV,37203.0
200 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $250 GeV,11972.0
250 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $300 GeV,11167.0
300 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $350 GeV,6670.0
350 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $400 GeV,3266.0
400 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $500 GeV,2670.0
500 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $600 GeV,870.0
600 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $700 GeV,332.0
700 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $800 GeV,132.0
800 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $900 GeV,61.0
900 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $1000 GeV,35.0
1000 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $1100 GeV,14.0
