#: table_doi: 10.17182/hepdata.102093.v1/t74
#: name: Table yields EM3
#: description: Expected and observed backgrounds, before and after a binned likelihood fit in the control regions, in the exclusive SR bin EM3.
#: data_file: table_yields_em3.yaml
#: keyword phrases: Exclusive EM3 region
#: keyword cmenergies: 13000.0
EM3,SR,stat+syst +,stat+syst -
Fitted $W\rightarrow \mu\nu$,56600.0,400.0,-400.0
Fitted $W\rightarrow\tau\nu$,3800.0,50.0,-50.0
Fitted VBF $W$+jets,2020.0,260.0,-260.0
Fitted $Z\rightarrow ee$,-,0,0
Fitted $Z\rightarrow \mu\mu$,657.0,11.0,-11.0
Fitted $Z\rightarrow \tau\tau$,-,0,0
Fitted $Z\rightarrow \nu\nu$,-,0,0
Fitted VBF $Z$+jets,-,0,0
Fitted $t\bar{t}$,2920.0,240.0,-240.0
Fitted single-$t$,970.0,320.0,-320.0
Fitted dibosons,1730.0,290.0,-290.0
multijet,-,0,0
noncollision background,-,0,0
MC exp. SM events,61900.0,3400.0,-3400.0
Fit input $W\rightarrow e\nu$,-,0,0
Fit input $W\rightarrow \mu\nu$,50300.0,2800.0,-2800.0
Fit input $W\rightarrow \tau\nu$,3370.0,190.0,-190.0
Fit input VBF $W$+jets,1640.0,350.0,-350.0
Fit input $Z\rightarrow ee$,-,0,0
Fit input $Z\rightarrow \mu\mu$,580.0,33.0,-33.0
Fit input $Z\rightarrow \tau\tau$,-,0,0
Fit input $Z\rightarrow \nu\nu$,-,0,0
Fit input VBF $Z$+jets,-,0,0
Fit input $t\bar{t}$,3400.0,400.0,-400.0
Fit input single-$t$,900.0,500.0,-500.0
Fit input dibosons,1760.0,340.0,-340.0
Fit input multijet,-,0,0
Fit input noncollision background,-,0,0

EM3,W$\rightarrow e\nu$,stat+syst +,stat+syst -
Observed events (139 fb$^{-1}$),43781.0,0,0
SM prediction (post-fit),43710.0,130.0,-130.0
Fitted $W\rightarrow e\nu$,35130.0,290.0,-290.0
Fitted $W\rightarrow \mu\nu$,-,0,0
Fitted $W\rightarrow\tau\nu$,2851.0,35.0,-35.0
Fitted VBF $W$+jets,1330.0,170.0,-170.0
Fitted $Z\rightarrow ee$,-,0,0
Fitted $Z\rightarrow \mu\mu$,-,0,0
Fitted $Z\rightarrow \tau\tau$,106.0,2.9,-2.9
Fitted $Z\rightarrow \nu\nu$,-,0,0
Fitted VBF $Z$+jets,-,0,0
Fitted $t\bar{t}$,2410.0,200.0,-200.0
Fitted single-$t$,750.0,240.0,-240.0
Fitted dibosons,1130.0,180.0,-180.0
multijet,-,0,0
noncollision background,-,0,0
MC exp. SM events,39300.0,2100.0,-2100.0
Fit input $W\rightarrow e\nu$,31000.0,1700.0,-1700.0
Fit input $W\rightarrow \mu\nu$,-,0,0
Fit input $W\rightarrow \tau\nu$,2520.0,140.0,-140.0
Fit input VBF $W$+jets,1070.0,230.0,-230.0
Fit input $Z\rightarrow ee$,-,0,0
Fit input $Z\rightarrow \mu\mu$,-,0,0
Fit input $Z\rightarrow \tau\tau$,94.2,3.3,-3.3
Fit input $Z\rightarrow \nu\nu$,-,0,0
Fit input VBF $Z$+jets,-,0,0
Fit input $t\bar{t}$,2770.0,320.0,-320.0
Fit input single-$t$,690.0,320.0,-320.0
Fit input dibosons,1150.0,210.0,-210.0
Fit input multijet,-,0,0
Fit input noncollision background,-,0,0

EM3,Top,stat+syst +,stat+syst -
Observed events (139 fb$^{-1}$),13592.0,0,0
SM prediction (post-fit),13830.0,80.0,-80.0
Fitted $W\rightarrow e\nu$,1280.0,60.0,-60.0
Fitted $W\rightarrow \mu\nu$,1990.0,100.0,-100.0
Fitted $W\rightarrow\tau\nu$,229.0,11.0,-11.0
Fitted VBF $W$+jets,172.0,31.0,-31.0
Fitted $Z\rightarrow ee$,-,0,0
Fitted $Z\rightarrow \mu\mu$,27.8,0.8,-0.8
Fitted $Z\rightarrow \tau\tau$,-,0,0
Fitted $Z\rightarrow \nu\nu$,-,0,0
Fitted VBF $Z$+jets,-,0,0
Fitted $t\bar{t}$,8400.0,600.0,-600.0
Fitted single-$t$,1600.0,600.0,-600.0
Fitted dibosons,164.0,31.0,-31.0
multijet,-,0,0
noncollision background,-,0,0
MC exp. SM events,15000.0,2200.0,-2200.0
Fit input $W\rightarrow e\nu$,1130.0,90.0,-90.0
Fit input $W\rightarrow \mu\nu$,1780.0,150.0,-150.0
Fit input $W\rightarrow \tau\nu$,203.0,16.0,-16.0
Fit input VBF $W$+jets,130.0,40.0,-40.0
Fit input $Z\rightarrow ee$,-,0,0
Fit input $Z\rightarrow \mu\mu$,24.6,0.9,-0.9
Fit input $Z\rightarrow \tau\tau$,-,0,0
Fit input $Z\rightarrow \nu\nu$,-,0,0
Fit input VBF $Z$+jets,-,0,0
Fit input $t\bar{t}$,9500.0,1700.0,-1700.0
Fit input single-$t$,2000.0,1100.0,-1100.0
Fit input dibosons,170.0,40.0,-40.0
Fit input multijet,-,0,0
Fit input noncollision background,-,0,0

EM3,Z$\rightarrow\mu\mu$,stat+syst +,stat+syst -
Observed events (139 fb$^{-1}$),10390.0,0,0
SM prediction (post-fit),10340.0,40.0,-40.0
Fitted $W\rightarrow e\nu$,-,0,0
Fitted $W\rightarrow \mu\nu$,-,0,0
Fitted $W\rightarrow\tau\nu$,-,0,0
Fitted VBF $W$+jets,-,0,0
Fitted $Z\rightarrow ee$,-,0,0
Fitted $Z\rightarrow \mu\mu$,9530.0,70.0,-70.0
Fitted $Z\rightarrow \tau\tau$,-,0,0
Fitted $Z\rightarrow \nu\nu$,-,0,0
Fitted VBF $Z$+jets,280.0,40.0,-40.0
Fitted $t\bar{t}$,197.0,24.0,-24.0
Fitted single-$t$,16.0,9.0,-9.0
Fitted dibosons,320.0,60.0,-60.0
multijet,-,0,0
noncollision background,-,0,0
MC exp. SM events,9200.0,500.0,-500.0
Fit input $W\rightarrow e\nu$,-,0,0
Fit input $W\rightarrow \mu\nu$,-,0,0
Fit input $W\rightarrow \tau\nu$,-,0,0
Fit input VBF $W$+jets,-,0,0
Fit input $Z\rightarrow ee$,-,0,0
Fit input $Z\rightarrow \mu\mu$,8400.0,500.0,-500.0
Fit input $Z\rightarrow \tau\tau$,-,0,0
Fit input $Z\rightarrow \nu\nu$,-,0,0
Fit input VBF $Z$+jets,220.0,50.0,-50.0
Fit input $t\bar{t}$,220.0,80.0,-80.0
Fit input single-$t$,44.0,33.0,-33.0
Fit input dibosons,320.0,70.0,-70.0
Fit input multijet,-,0,0
Fit input noncollision background,-,0,0

EM3,Z$\rightarrow ee$,stat+syst +,stat+syst -
Observed events (139 fb$^{-1}$),9065.0,0,0
SM prediction (post-fit),8990.0,50.0,-50.0
Fitted $W\rightarrow e\nu$,-,0,0
Fitted $W\rightarrow \mu\nu$,-,0,0
Fitted $W\rightarrow\tau\nu$,-,0,0
Fitted VBF $W$+jets,-,0,0
Fitted $Z\rightarrow ee$,8370.0,70.0,-70.0
Fitted $Z\rightarrow \mu\mu$,-,0,0
Fitted $Z\rightarrow \tau\tau$,-,0,0
Fitted $Z\rightarrow \nu\nu$,-,0,0
Fitted VBF $Z$+jets,231.0,30.0,-30.0
Fitted $t\bar{t}$,111.0,16.0,-16.0
Fitted single-$t$,8.0,4.0,-4.0
Fitted dibosons,260.0,50.0,-50.0
multijet,-,0,0
noncollision background,-,0,0
MC exp. SM events,7900.0,500.0,-500.0
Fit input $W\rightarrow e\nu$,-,0,0
Fit input $W\rightarrow \mu\nu$,-,0,0
Fit input $W\rightarrow \tau\nu$,-,0,0
Fit input VBF $W$+jets,-,0,0
Fit input $Z\rightarrow ee$,7300.0,500.0,-500.0
Fit input $Z\rightarrow \mu\mu$,-,0,0
Fit input $Z\rightarrow \tau\tau$,-,0,0
Fit input $Z\rightarrow \nu\nu$,-,0,0
Fit input VBF $Z$+jets,180.0,40.0,-40.0
Fit input $t\bar{t}$,120.0,60.0,-60.0
Fit input single-$t$,20.0,15.0,-15.0
Fit input dibosons,270.0,50.0,-50.0
Fit input multijet,-,0,0
Fit input noncollision background,-,0,0

