#: table_doi: 10.17182/hepdata.102093.v1/t71
#: name: Table yields EM0
#: description: Expected and observed backgrounds, before and after a binned likelihood fit in the control regions, in the exclusive SR bin EM0.
#: data_file: table_yields_em0.yaml
#: keyword phrases: Exclusive EM0 region
#: keyword cmenergies: 13000.0
EM0,SR,stat+syst +,stat+syst -
noncollision background,-,0,0
MC exp. SM events,93000.0,5000.0,-5000.0
Fit input $W\rightarrow e\nu$,-,0,0
Fit input $W\rightarrow \mu\nu$,-,0,0
Fit input $W\rightarrow \tau\nu$,-,0,0
Fit input VBF $W$+jets,-,0,0
Fit input $Z\rightarrow ee$,-,0,0
Fit input $Z\rightarrow \mu\mu$,88000.0,5000.0,-5000.0
Fit input $Z\rightarrow \tau\tau$,-,0,0
Fit input $Z\rightarrow \nu\nu$,-,0,0
Fit input VBF $Z$+jets,1100.0,190.0,-190.0
Fit input $t\bar{t}$,2500.0,600.0,-600.0
Fit input single-$t$,300.0,190.0,-190.0
Fit input dibosons,1680.0,310.0,-310.0
Fit input multijet,-,0,0
Fit input noncollision background,-,0,0

EM0,Z$\rightarrow ee$,stat+syst +,stat+syst -
Observed events (139 fb$^{-1}$),71075.0,0,0
SM prediction (post-fit),71050.0,270.0,-270.0
Fitted $W\rightarrow e\nu$,-,0,0
Fitted $W\rightarrow \mu\nu$,-,0,0
Fitted $W\rightarrow\tau\nu$,-,0,0
Fitted VBF $W$+jets,-,0,0
Fitted $Z\rightarrow ee$,68220.0,310.0,-310.0
Fitted $Z\rightarrow \mu\mu$,-,0,0
Fitted $Z\rightarrow \tau\tau$,-,0,0
Fitted $Z\rightarrow \nu\nu$,-,0,0
Fitted VBF $Z$+jets,887.0,100.0,-100.0
Fitted $t\bar{t}$,850.0,70.0,-70.0
Fitted single-$t$,39.0,23.0,-23.0
Fitted dibosons,1060.0,170.0,-170.0
multijet,-,0,0
noncollision background,-,0,0
MC exp. SM events,62100.0,3300.0,-3300.0
Fit input $W\rightarrow e\nu$,-,0,0
Fit input $W\rightarrow \mu\nu$,-,0,0
Fit input $W\rightarrow \tau\nu$,-,0,0
Fit input VBF $W$+jets,-,0,0
Fit input $Z\rightarrow ee$,59200.0,3200.0,-3200.0
Fit input $Z\rightarrow \mu\mu$,-,0,0
Fit input $Z\rightarrow \tau\tau$,-,0,0
Fit input $Z\rightarrow \nu\nu$,-,0,0
Fit input VBF $Z$+jets,730.0,130.0,-130.0
Fit input $t\bar{t}$,950.0,260.0,-260.0
Fit input single-$t$,120.0,90.0,-90.0
Fit input dibosons,1080.0,200.0,-200.0
Fit input multijet,-,0,0
Fit input noncollision background,-,0,0

