Signal Region,Sigma_95_exp (pb),Sigma_95_obs (pb),Efficiency,Stat,Sigma_theoretical (pb),SAF File,mT1 (GeV),mn1 (GeV),NNLO Cross Section (pb),k_factor,Signal Strength Obs,Signal Strength Exp,Status Obs,Status Exp
IM1,6.5121996,8.1619151,0.0348715,0.0001038,2.555161,pptt1jmatch_run_04_370_300,369.788,300.0,3.3005999999999993,1.2917385636364986,2.4728579955159673,1.9730350845300857,Included,Included
IM2,5.0565298,6.9510185,0.0223558,8.37e-05,2.555161,pptt1jmatch_run_04_370_300,369.788,300.0,3.3005999999999993,1.2917385636364986,2.1059863358177306,1.5320032115372966,Included,Included
IM3,4.0690174,5.9954976,0.0139971,6.65e-05,2.555161,pptt1jmatch_run_04_370_300,369.788,300.0,3.3005999999999993,1.2917385636364986,1.8164871841483372,1.2328114282251714,Included,Included
IM4,3.8039955,6.0434576,0.0086352,5.24e-05,2.555161,pptt1jmatch_run_04_370_300,369.788,300.0,3.3005999999999993,1.2917385636364986,1.8310178755377813,1.1525163606616982,Included,Included
IM5,4.7332348,7.1891476,0.0030381,3.12e-05,2.555161,pptt1jmatch_run_04_370_300,369.788,300.0,3.3005999999999993,1.2917385636364986,2.1781335514754896,1.43405283887778,Included,Included
IM6,10.9408768,15.9812161,0.0006647,1.46e-05,2.555161,pptt1jmatch_run_04_370_300,369.788,300.0,3.3005999999999993,1.2917385636364986,4.841912409864874,3.3148145185723816,Included,Included
IM7,13.1056794,15.4368387,0.0002743,9.4e-06,2.555161,pptt1jmatch_run_04_370_300,369.788,300.0,3.3005999999999993,1.2917385636364986,4.676979549172878,3.9706960552626804,Included,Included
IM8,7.2860355,7.797193,0.0002743,9.4e-06,2.555161,pptt1jmatch_run_04_370_300,369.788,300.0,3.3005999999999993,1.2917385636364986,2.3623562382597108,2.207488183966552,Included,Included
IM9,4.6266317,4.3454359,0.0002743,9.4e-06,2.555161,pptt1jmatch_run_04_370_300,369.788,300.0,3.3005999999999993,1.2917385636364986,1.3165593831424591,1.4017547415621405,Included,Included
IM10,6.5784978,10.1742337,0.000142,6.7e-06,2.555161,pptt1jmatch_run_04_370_300,369.788,300.0,3.3005999999999993,1.2917385636364986,3.082540659274072,1.9931217960370846,Included,Included
IM11,3.967798,3.5576207,0.000142,6.7e-06,2.555161,pptt1jmatch_run_04_370_300,369.788,300.0,3.3005999999999993,1.2917385636364986,1.0778709022601953,1.2021444585832881,Included,Included
IM12,-1.0,-1.0,0.0,0.0,2.555161,pptt1jmatch_run_04_370_300,369.788,300.0,3.3005999999999993,1.2917385636364986,-0.30297521662727994,-0.30297521662727994,Excluded,Excluded
