Label,sigma (pb),Mediator Mass (GeV),Mediator Width (GeV),DM Mass (GeV),gAx,gAq,"BR_[-52, 52]","BR_[-5, 5]","BR_[-4, 4]","BR_[-3, 3]","BR_[-2, 2]","BR_[-1, 1]","BR_[-6, 6]"
Run 74,277.84,500.0,25.85958,50.0,1.0,0.25,0.4824188,0.09616536,0.09616536,0.09616536,0.09616536,0.09616536,0.03675439
Run 75,20.899,1000.0,55.11431,50.0,1.0,0.25,0.4740862,0.09024139,0.09024139,0.09024139,0.09024139,0.09024139,0.07470685
Run 76,1.7649,1750.0,90.2037,300.0,1.0,0.25,0.4265962,0.09649034,0.09649034,0.09649034,0.09649034,0.09649034,0.09095209
Run 77,1.7671,1750.0,94.55345,200.0,1.0,0.25,0.4529745,0.09205149,0.09205149,0.09205149,0.09205149,0.09205149,0.08676802
Run 78,83.173,700.0,29.9697,200.0,1.0,0.25,0.3424217,0.1161678,0.1161678,0.1161678,0.1161678,0.1161678,0.07673923
Run 79,0.47478,2250.0,87.49611,800.0,1.0,0.25,0.2370698,0.1278981,0.1278981,0.1278981,0.1278981,0.1278981,0.1234399
Run 80,3.674,1500.0,71.70836,350.0,1.0,0.25,0.3838713,0.1040379,0.1040379,0.1040379,0.1040379,0.1040379,0.09593918
Run 81,1.764,1750.0,54.80844,800.0,1.0,0.25,0.05629236,0.1588037,0.1588037,0.1588037,0.1588037,0.1588037,0.1496889
Run 82,3.6722,1500.0,64.55341,450.0,1.0,0.25,0.315581,0.1155692,0.1155692,0.1155692,0.1155692,0.1155692,0.1065728
Run 83,0.47509,2250.0,106.3737,550.0,1.0,0.25,0.3724633,0.1052006,0.1052006,0.1052006,0.1052006,0.1052006,0.1015337
Run 84,3.6742,1500.0,44.18158,750.0,1.0,0.25,,0.1688574,0.1688574,0.1688574,0.1688574,0.1688574,0.1557129
Run 85,0.89731,2000.0,112.2966,0.0,1.0,0.25,0.4724243,0.08857955,0.08857955,0.08857955,0.08857955,0.08857955,0.08467796
